used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
125528,141680,19,0.763158,136
123424,141680,19,0.781609,136
123864,141680,19,0.774066,136
126168,141680,19,0.728940,136
122472,141680,20,0.761117,136
122368,141680,20,0.763441,136
124352,141680,20,0.728075,136
124200,141680,20,0.732019,136
126848,141680,20,0.666907,136
128328,141680,20,0.773411,136
129648,141680,20,0.735610,136
133256,145336,20,0.735610,136
134944,145336,20,0.839109,136
135104,145336,19,0.834395,160
138936,149216,19,0.834395,160
142584,152912,19,0.834395,160
142480,152912,19,0.838308,160
143952,154432,19,0.838308,160
141728,154432,19,0.713235,160
143328,154432,19,0.852608,160
141728,154432,19,0.803309,160
145416,158168,19,0.803309,160
143392,158168,20,0.807721,112
144968,158168,20,0.773601,112
148592,161840,20,0.773601,112
145688,161840,21,0.759124,112
142000,161840,22,0.765752,112
143472,161840,22,0.740720,112
144080,161840,22,0.728184,112
145808,161840,22,0.687246,112
142880,161840,23,0.749457,112
141400,161840,24,0.772346,112
142944,161840,24,0.747536,112
139816,161840,24,0.769681,112
135896,161840,25,0.811279,112
138424,161840,25,0.785864,112
141568,161840,25,0.742972,112
141792,161840,24,0.739308,112
143032,161840,24,0.716029,112
143280,161840,23,0.710571,136
143872,161840,23,0.696862,136
144984,161840,22,0.669677,136
141376,161840,22,0.744893,136
141152,161840,23,0.748403,136
142600,161840,22,0.723243,168
143504,161840,21,0.705239,168
144976,161840,21,0.669037,168
143432,161840,22,0.705747,168
140264,161840,23,0.760300,168
137040,161840,24,0.798346,168
139480,161840,24,0.770197,168
138504,161840,25,0.782128,168
138936,161840,25,0.776419,168
140808,161840,25,0.750244,168
139904,161840,26,0.763292,168
140384,161840,26,0.755842,168
136376,161840,26,0.761137,168
132472,161840,27,0.798836,168
130488,161840,26,0.694809,168
131288,161840,26,0.684843,168
131992,161840,26,0.675444,168
132832,161840,26,0.663598,168
131736,161840,27,0.678099,168
135760,161840,27,0.616710,168
139640,161840,26,0.530949,192
141096,161840,26,0.486703,192
142216,161840,26,0.446129,192
143888,161840,26,0.373162,192
145464,161840,26,0.426172,192
144352,161840,27,0.477041,192
144416,161840,26,0.474359,192
146184,161840,26,0.555139,192
148888,161840,26,0.748231,192
152216,165216,26,0.748231,192
155208,168256,26,0.748231,192
158416,171512,26,0.748231,192
