used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
187648,220480,34,0.902260,112
191336,224216,34,0.902260,112
187336,224216,34,0.831217,112
189152,224216,34,0.820130,112
187336,224216,34,0.831217,112
190776,224216,34,0.904306,112
189032,224216,33,0.835758,112
188592,224216,34,0.838247,112
185944,224216,34,0.851992,112
184312,224216,34,0.850096,112
183152,224216,34,0.855327,112
181696,224216,34,0.861351,112
179392,224216,34,0.869827,112
178960,224216,35,0.871273,112
176464,224216,34,0.879314,112
173312,224216,35,0.887834,112
176552,224216,35,0.878917,112
176768,224216,35,0.878139,112
175656,224216,34,0.881619,112
179536,224216,34,0.869502,112
181336,224216,34,0.862900,112
181136,224216,34,0.863824,112
179632,224216,35,0.869175,112
176960,224216,34,0.877996,112
176904,224216,35,0.878234,88
178968,224216,35,0.871642,88
179024,224216,35,0.871299,88
182224,224216,35,0.868327,88
180648,224216,36,0.873899,88
184072,224216,36,0.860933,88
185584,224216,36,0.854198,88
183896,224216,37,0.861459,88
180904,224216,37,0.832359,88
183096,224216,37,0.821536,88
185792,224216,37,0.853030,88
184872,224216,37,0.857351,88
180976,224216,38,0.872447,88
183608,224216,38,0.862433,88
180496,224216,39,0.873926,88
182552,224216,39,0.866378,88
186000,224216,39,0.876896,88
185408,224216,39,0.879336,88
181616,224216,39,0.850089,88
184000,224216,39,0.884378,88
187240,224216,39,0.897659,88
188712,224216,39,0.892274,88
192336,227888,39,0.892274,88
190320,227888,40,0.899301,88
190264,227888,40,0.899639,88
188296,227888,40,0.905766,88
191240,227888,39,0.896405,128
189464,227888,39,0.902335,128
189912,227888,39,0.900791,128
189704,227888,40,0.901444,128
190704,227888,40,0.898061,128
191608,227888,39,0.894780,176
190808,227888,39,0.897712,176
190648,227888,39,0.898407,176
187288,227888,38,0.763201,176
185104,227888,38,0.777753,176
185120,227888,38,0.777361,176
188984,227888,38,0.750433,176
186792,227888,38,0.766597,176
187248,227888,38,0.763146,176
189512,227888,38,0.745908,176
189968,227888,38,0.741812,176
187440,227888,37,0.761804,176
186984,227888,37,0.765294,176
189032,227888,37,0.750062,176
189408,227888,37,0.746737,176
191352,227888,37,0.729853,176
188408,227888,38,0.754382,136
188256,227888,37,0.756221,136
184872,227888,36,0.779405,136
186256,227888,36,0.770421,136
187160,227888,36,0.764032,136
187544,227888,36,0.761014,136
187528,227888,36,0.761466,136
183840,227888,37,0.784907,136
183000,227888,37,0.789879,136
185200,227888,37,0.776819,136
188080,227888,37,0.757160,136
189800,227888,36,0.743583,176
191576,227888,36,0.727812,176
194512,227888,36,0.809238,176
190648,227888,36,0.833639,176
192184,227888,36,0.824552,176
190384,227888,36,0.835062,176
186360,227888,36,0.854296,176
188024,227888,36,0.846784,176
192016,227888,36,0.825562,176
195936,227888,36,0.853651,176
195792,227888,36,0.854757,176
197056,227888,36,0.846844,176
199664,227888,36,0.889096,176
201520,227888,36,0.909836,176
201952,227888,35,0.907602,216
205040,231024,35,0.907602,216
208936,234968,35,0.907602,216
212968,239048,35,0.907602,216
210672,239048,36,0.892429,216
207392,239048,36,0.861219,216
207016,239048,36,0.863564,216
206568,239048,36,0.866208,216
205480,239048,37,0.871741,200
209032,242648,37,0.871741,200
206968,242648,36,0.873302,200
207072,242648,36,0.872631,200
209360,242648,35,0.861557,208
210536,242648,35,0.854828,208
213192,242648,35,0.837367,208
213432,242648,35,0.835256,208
216648,242648,35,0.907016,208
213448,242648,35,0.774170,208
212944,242648,36,0.779189,208
214024,242648,35,0.767890,232
216472,242648,35,0.868344,232
220536,246760,35,0.868344,232
222816,246760,35,0.927412,232
225600,249592,35,0.927412,232
225272,249592,34,0.929204,232
226368,249592,34,0.925150,232
224984,249592,33,0.803563,232
227624,249592,33,0.919050,232
227936,249592,33,0.917035,232
229744,251448,33,0.917035,232
231448,253200,33,0.917035,232
234904,256704,33,0.917035,232
234592,256704,33,0.919050,232
236904,259064,33,0.919050,232
240424,262632,33,0.919050,232
238216,262632,33,0.823888,232
239024,262632,33,0.867357,232
235032,262632,33,0.786419,232
236064,262632,33,0.774395,232
234552,262632,34,0.791120,208
238272,262632,34,0.909391,208
241904,266312,34,0.909391,208
241752,266312,35,0.910196,208
237856,266312,36,0.814476,208
237560,266312,35,0.817876,208
238864,266312,35,0.805589,208
241240,266312,35,0.916440,208
242296,266312,35,0.910853,208
246184,270248,35,0.910853,208
243872,270248,36,0.877178,208
246584,273008,36,0.877178,208
243128,273008,36,0.739520,208
247128,273008,36,0.903282,208
248896,273008,35,0.910853,208
249632,273008,35,0.906409,208
245712,273008,36,0.800489,208
249648,276992,36,0.800489,208
248480,276992,37,0.811683,208
250680,276992,37,0.909953,208
250504,276992,38,0.910874,192
252104,276992,38,0.913978,192
255672,280608,38,0.913978,192
257400,282384,38,0.913978,192
261080,286112,38,0.913978,192
258368,286112,39,0.863196,192
261688,289480,39,0.863196,192
264744,292584,39,0.863196,192
262144,292584,39,0.835885,192
264640,292584,39,0.863910,192
264784,292584,38,0.862864,200
265696,292584,38,0.855867,200
261864,292584,38,0.776172,200
265464,292584,38,0.857623,200
268816,295984,38,0.857623,200
269344,295984,38,0.853183,200
265792,295984,39,0.838721,200
265648,295984,40,0.839827,192
269376,299760,40,0.839827,192
271328,299760,40,0.865583,192
272496,299760,39,0.857323,192
275856,303168,39,0.857323,192
272176,303168,40,0.837800,192
276208,307248,40,0.837800,192
278048,307248,40,0.823077,192
276992,307248,40,0.831994,192
275720,307248,40,0.841543,192
277696,307248,40,0.921887,192
279616,309216,40,0.921887,192
278464,309216,40,0.926071,192
278528,309216,40,0.925700,192
275648,309216,41,0.885569,192
278304,309216,41,0.926282,192
276744,309216,42,0.931069,192
273528,309216,41,0.863623,192
277336,313072,41,0.863623,192
277648,313072,41,0.861803,192
280632,313072,41,0.930839,192
284240,316728,41,0.930839,192
284960,316728,41,0.928547,192
282680,316728,41,0.901506,192
278648,316728,41,0.812331,192
279152,316728,41,0.808763,192
281768,316728,41,0.890473,192
283632,316728,41,0.881910,192
287712,320856,41,0.881910,192
286616,320856,41,0.887188,192
283960,320856,41,0.897965,192
287296,324240,41,0.897965,192
286912,324240,41,0.899499,192
285600,324240,42,0.903887,192
289616,328304,42,0.903887,192
290400,328304,42,0.901150,192
290632,328304,42,0.900194,192
288912,328304,43,0.905793,192
291976,331416,43,0.905793,192
288456,331416,44,0.897004,192
289488,331416,44,0.893643,192
286904,331416,44,0.901478,192
