used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
134712,159520,23,0.871005,0
136312,159520,23,0.902551,0
132664,159520,24,0.839831,0
136352,163256,24,0.839831,0
133272,163256,24,0.854540,0
134848,163256,24,0.849753,0
138472,163256,23,0.896084,24
137368,163256,23,0.901579,24
136488,163256,22,0.881898,24
137960,163256,22,0.899058,24
138568,163256,22,0.902060,24
140296,163256,22,0.900893,24
138816,163256,22,0.870181,24
135648,163256,23,0.865214,24
137192,163256,23,0.879518,24
136600,163256,23,0.882937,24
135024,163256,23,0.890801,24
137552,163256,23,0.889630,24
140696,166448,23,0.889630,24
140920,166448,23,0.900975,24
142160,166448,23,0.906986,24
142408,166448,23,0.920178,24
143000,166448,23,0.917504,24
144112,166448,23,0.912617,24
141312,166448,23,0.842247,24
138728,166448,22,0.817996,24
140176,166448,22,0.850746,24
141080,166448,22,0.867960,24
142552,166448,22,0.880640,24
138968,166448,23,0.844768,24
137728,166448,23,0.852970,24
136280,166448,24,0.861214,24
138720,166448,24,0.900240,24
137624,166448,25,0.904715,24
138056,166448,25,0.911824,24
139928,166448,25,0.916122,24
139320,166448,24,0.895144,24
139800,166448,24,0.916427,24
137328,166448,24,0.846328,24
135856,166448,25,0.854962,24
132376,166448,25,0.844456,24
133176,166448,25,0.868421,24
133880,166448,25,0.865757,24
134720,166448,25,0.888106,24
132256,166448,26,0.897388,24
136280,170520,26,0.897388,24
140160,174448,26,0.897388,24
141616,174448,26,0.897589,24
142736,174448,26,0.908849,24
144408,174448,26,0.926675,24
145984,174448,26,0.921986,24
145144,174448,27,0.924658,24
145208,174448,27,0.928899,24
146976,176264,27,0.928899,24
149680,179016,27,0.928899,24
153008,182392,27,0.928899,24
156000,185432,27,0.928899,24
159208,188688,27,0.928899,24
162672,192200,27,0.928899,24
160368,192200,27,0.899582,24
164384,196264,27,0.899582,24
167472,199400,27,0.899582,24
166472,199400,27,0.903365,24
165592,199400,27,0.906485,24
167576,199400,27,0.910452,24
164488,199400,28,0.896376,24
168488,203448,28,0.896376,24
166880,203448,28,0.901831,24
169912,203448,28,0.915703,24
167472,203448,28,0.883878,24
164440,203448,28,0.894414,24
161016,203448,28,0.875989,24
158240,203448,29,0.884554,24
157808,203448,30,0.885782,24
154616,203448,29,0.809984,24
155288,203448,29,0.823486,24
