used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
113768,143440,26,0.885705,56
117560,147280,26,0.885705,56
117664,147280,26,0.885033,56
120232,147280,26,0.872069,56
123928,151024,26,0.872069,56
125528,151024,26,0.862287,56
123424,151024,26,0.874789,56
123864,151024,26,0.872157,56
126168,151024,26,0.857745,56
122472,151024,27,0.849511,56
122368,151024,27,0.850437,56
124352,151024,27,0.837037,56
124200,151024,27,0.838462,56
126848,151024,27,0.869203,56
128328,151024,27,0.858491,56
129648,151024,27,0.909301,56
133256,154680,27,0.909301,56
134944,156416,27,0.909301,56
135104,156416,27,0.908197,56
138936,160296,27,0.908197,56
142584,163992,27,0.908197,56
142480,163992,27,0.909006,56
143952,163992,27,0.909369,56
141728,163992,28,0.876004,56
143328,163992,28,0.912574,56
141728,163992,28,0.893399,56
145416,167728,28,0.893399,56
143392,167728,27,0.852014,56
144968,167728,27,0.896267,56
148592,171400,27,0.896267,56
145688,171400,26,0.809630,56
142000,171400,27,0.837580,56
143472,171400,27,0.843729,56
144080,171400,27,0.839261,56
145808,171400,27,0.825775,56
142880,171400,27,0.847250,56
141400,171400,27,0.856342,56
142944,171400,27,0.858472,56
139816,171400,27,0.874963,56
135896,171400,27,0.843710,56
138424,171400,26,0.829752,88
141568,171400,26,0.866206,88
141792,171400,26,0.864762,88
143032,171400,26,0.861492,88
143280,171400,26,0.859756,88
143872,171400,26,0.855850,88
144984,171400,26,0.894023,88
141376,171400,26,0.817211,88
141152,171400,26,0.819142,88
142600,171400,26,0.869680,88
143504,171400,26,0.864354,88
144976,171400,26,0.854886,88
143432,171400,27,0.864494,88
140264,171400,28,0.880399,88
137040,171400,28,0.873118,88
139480,171400,28,0.861543,88
138504,171400,29,0.866327,88
138936,171400,29,0.864016,88
140808,171400,29,0.896317,88
139904,171400,28,0.862634,88
140384,171400,28,0.859878,88
136376,171400,28,0.854095,88
132472,171400,29,0.870712,88
130488,171400,29,0.877947,88
131288,171400,29,0.875028,88
131992,171400,29,0.872321,88
132832,171400,29,0.868969,88
131736,171400,30,0.873081,88
135760,171400,30,0.873444,88
139640,171400,29,0.863124,112
141096,171400,29,0.855031,112
142216,171400,29,0.896177,112
143888,171400,29,0.888258,112
145464,171400,29,0.879587,112
144352,171400,29,0.850054,112
144416,171400,29,0.849290,112
146184,171400,29,0.835714,112
148888,171400,29,0.855239,112
152216,174776,29,0.855239,112
155208,177816,29,0.855239,112
158416,181072,29,0.855239,112
161880,184584,29,0.855239,112
161632,184584,30,0.857272,112
165648,188648,30,0.857272,112
168736,191784,30,0.857272,112
167200,191784,31,0.868695,112
164112,191784,32,0.861400,112
166096,191784,32,0.847491,112
165504,191784,32,0.852164,112
169504,195832,32,0.852164,112
168344,195832,33,0.859942,112
171376,195832,33,0.911008,112
167464,195832,33,0.820656,112
166144,195832,32,0.820243,112
163112,195832,32,0.840432,112
160408,195832,32,0.854984,112
159928,195832,32,0.857478,112
159456,195832,33,0.859636,112
160128,195832,33,0.856317,112
163680,195832,33,0.837057,112
160096,195832,33,0.772238,112
156008,195832,34,0.799167,112
152360,195832,35,0.818334,112
149152,195832,36,0.832400,112
149296,195832,36,0.831620,112
146984,195832,37,0.840558,112
142968,195832,37,0.849798,112
144280,195832,37,0.845382,112
144608,195832,37,0.844115,112
147040,195832,37,0.835207,112
149408,195832,37,0.825493,112
149344,195832,37,0.825968,112
151768,195832,37,0.814830,112
151968,195832,37,0.813634,112
150232,195832,37,0.821912,112
151888,195832,37,0.814021,112
154488,195832,37,0.874218,112
157640,195832,37,0.861874,112
159024,195832,37,0.855530,112
159872,195832,37,0.851255,112
162368,195832,37,0.891260,112
162592,195832,37,0.890184,112
162792,195832,37,0.889183,112
164352,195832,37,0.882224,112
165616,195832,37,0.919328,112
169448,199712,37,0.919328,112
169744,199712,36,0.918306,120
171488,199712,36,0.923243,120
168920,199712,35,0.870978,120
170504,199712,35,0.861915,120
172288,199712,35,0.920374,120
171680,199712,34,0.863916,120
171736,199712,34,0.863273,120
173720,199712,34,0.914663,120
171280,199712,34,0.858924,120
174392,199712,34,0.911692,120
178232,203600,34,0.911692,120
174768,203600,34,0.780077,120
178328,203600,34,0.911250,120
180512,205832,34,0.911250,120
178640,205832,35,0.911162,120
178792,205832,34,0.910448,136
177688,205832,34,0.898078,136
174128,205832,34,0.804551,136
170288,205832,35,0.829989,136
173528,205832,35,0.808666,136
176888,205832,35,0.901438,136
175200,205832,35,0.908409,136
175376,205832,35,0.907566,136
176808,205832,35,0.901576,136
177656,205832,35,0.897557,136
174200,205832,35,0.845332,136
173352,205832,35,0.850592,136
171768,205832,35,0.859308,136
172688,205832,35,0.854265,136
171840,205832,35,0.858945,136
167960,205832,35,0.752386,112
170552,205832,35,0.820372,112
172552,205832,35,0.806832,112
174184,205832,34,0.794099,160
175296,205832,34,0.784281,160
176808,205832,34,0.769501,160
179992,205832,34,0.896806,160
181496,205832,34,0.887900,160
185368,209752,34,0.887900,160
187432,211864,34,0.887900,160
191328,215808,34,0.887900,160
187816,215808,34,0.833643,160
191096,215808,34,0.889328,160
194344,219104,34,0.889328,160
194168,219104,34,0.890672,160
190088,219104,35,0.818828,160
191776,219104,34,0.803997,176
191984,219104,33,0.801634,216
191760,219104,34,0.803771,216
191560,219104,34,0.806084,216
192728,219104,34,0.794189,216
194480,219104,34,0.773635,216
195712,219104,34,0.832776,216
192640,219104,33,0.810366,216
188744,219104,34,0.836358,216
187272,219104,34,0.846178,216
188432,219104,33,0.838688,232
191472,219104,33,0.815040,232
188568,219104,34,0.837450,232
185424,219104,34,0.846539,232
188096,219104,33,0.829739,240
186248,219104,33,0.841978,240
187216,219104,33,0.846372,240
183736,219104,33,0.865134,240
183032,219104,33,0.868556,240
183752,219104,33,0.865060,240
183832,219104,33,0.868912,240
184920,219104,33,0.863518,240
182720,219104,32,0.866774,240
184440,219104,32,0.858402,240
184984,219104,32,0.855359,240
185576,219104,32,0.851918,240
187760,219104,32,0.847276,240
186088,219104,31,0.857489,240
184824,219104,32,0.863991,240
184352,219104,32,0.866497,240
186664,219104,32,0.854315,240
188736,219104,32,0.841307,240
187304,219104,32,0.850301,240
187624,219104,32,0.848085,240
187800,219104,32,0.846703,240
188952,219104,32,0.838853,240
187648,219104,32,0.847644,240
191336,219104,32,0.838464,240
187336,219104,33,0.840307,240
189152,219104,33,0.827467,240
187336,219104,33,0.840307,240
190776,219104,33,0.842301,240
189032,219104,34,0.854102,240
188592,219104,34,0.857095,240
185944,219104,35,0.871407,240
184312,219104,35,0.879296,192
183152,219104,36,0.884133,176
181696,219104,37,0.889610,176
179392,219104,38,0.897293,176
178960,219104,38,0.898761,176
176464,219104,38,0.881311,176
173312,219104,38,0.886493,176
176552,219104,38,0.876138,176
176768,219104,38,0.875224,176
175656,219104,38,0.879142,176
179536,219104,38,0.870092,176
181336,219104,38,0.862388,176
181136,219104,38,0.863474,176
179632,219104,38,0.869903,176
176960,219104,39,0.879686,168
176904,219104,40,0.879874,168
178968,219104,40,0.907575,168
179024,219104,40,0.907288,168
182224,222352,40,0.907288,168
180648,222352,41,0.911456,168
184072,225824,41,0.911456,168
185584,225824,41,0.907332,168
183896,225824,41,0.911938,152
180904,225824,42,0.918828,152
183096,225824,42,0.913778,152
185792,225824,42,0.909310,152
184872,225824,42,0.911875,152
180976,225824,43,0.897796,152
